action_type,combined_shot_type,game_event_id,game_id,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_id,team_name,game_date,matchup,opponent,shot_id,attendance,arena_temp,avgnoisedb,rannum,action_type_int,combined_shot_type_int,shot_type_int,shot_zone_are_int,shot_zone_basic_int,shot_zone_range_int,opponent_int,time_remaining_period,game_time,log_lat,log_shot_distance,log_loc_y,season,Obs,shot_not_made_probability,shot_made_probability,_INTO_
Jump Shot,Jump Shot,35,20000012,33.9093,-101,135,-118.3708,7,1,0,45,16,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,10/31/2000,LAL @ POR,POR,3,14707,69,94.06,2,26,4,1,3,5,1,26,465,255,3.523689313,2.7726512203,5.1929568509,2000,2,0.5390644325,0.4609355675,0
Driving Dunk Shot,Dunk,155,20000012,34.0443,0,0,-118.2698,6,2,0,19,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,10/31/2000,LAL @ POR,POR,5,14707,69,94.06,4,5,2,1,2,6,5,26,379,1061,3.5276626177,-6.907755279,3.8066624898,2000,4,0.3520937096,0.6479062904,1
Layup Shot,Layup,251,20000012,34.0443,0,0,-118.2698,8,3,0,52,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,10/31/2000,LAL @ POR,POR,7,14707,69,94.06,6,27,5,1,2,6,5,26,532,1628,3.5276626177,-6.907755279,3.8066624898,2000,6,0.2959665562,0.7040334438,1
Running Jump Shot,Jump Shot,294,20000012,33.9193,-33,125,-118.3028,3,3,0,36,12,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,10/31/2000,LAL @ POR,POR,10,14707,69,94.06,8,41,4,1,2,3,3,26,216,1944,3.5239841739,2.4849899796,5.1357984371,2000,8,0.5010230536,0.4989769464,0
Jump Shot,Jump Shot,4,20000019,33.9173,121,127,-118.1488,11,1,0,0,17,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/1/2000,LAL vs. UTA,UTA,12,15851,69,95.71,12,26,4,1,5,5,1,31,660,60,3.5239252087,2.8332721659,5.1474944768,2000,10,0.5338666515,0.4661333485,0
Jump Shot,Jump Shot,66,20000019,34.0403,-94,4,-118.3638,2,1,0,44,9,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/1/2000,LAL vs. UTA,UTA,14,15851,69,95.71,14,26,4,1,4,5,3,31,164,556,3.5275451168,2.1973356823,3.8918202981,2000,12,0.5420565753,0.4579434247,0
Jump Shot,Jump Shot,86,20000019,33.8523,62,192,-118.2078,0,1,0,48,20,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/1/2000,LAL vs. UTA,UTA,16,15851,69,95.71,16,26,4,1,2,5,1,31,48,672,3.5220069439,2.9957822723,5.4680601411,2000,14,0.5742579431,0.4257420569,0
Jump Shot,Jump Shot,244,20000019,33.9473,-132,97,-118.4018,11,3,0,29,16,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/1/2000,LAL vs. UTA,UTA,19,15851,69,95.71,18,26,4,1,3,5,1,31,689,1471,3.5248093221,2.7726512203,4.9558270576,2000,16,0.5224504484,0.4775495516,0
Jump Shot,Jump Shot,265,20000019,33.9173,134,127,-118.1358,9,3,0,4,18,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/1/2000,LAL vs. UTA,UTA,22,15851,69,95.71,20,26,4,1,5,5,1,31,544,1616,3.5239252087,2.8904273119,5.1474944768,2000,18,0.5401169391,0.4598830609,0
Running Jump Shot,Jump Shot,299,20000019,33.8943,-109,150,-118.3788,5,3,0,47,18,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/1/2000,LAL vs. UTA,UTA,24,15851,69,95.71,22,41,4,1,3,5,1,31,347,1813,3.5232468587,2.8904273119,5.2729995586,2000,20,0.5209944201,0.4790055799,0
Layup Shot,Layup,332,20000019,34.0443,0,0,-118.2698,2,3,0,36,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/1/2000,LAL vs. UTA,UTA,26,15851,69,95.71,24,27,5,1,2,6,5,31,156,2004,3.5276626177,-6.907755279,3.8066624898,2000,22,0.3183977382,0.6816022618,1
Jump Shot,Jump Shot,369,20000019,33.8583,-183,186,-118.4528,0,3,0,30,26,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,11/1/2000,LAL vs. UTA,UTA,28,15851,69,95.71,26,26,4,2,3,1,2,31,30,2130,3.5221841687,3.2581349988,5.4424177105,2000,24,0.6335294395,0.3664705605,0
Jump Shot,Jump Shot,429,20000019,33.9573,3,87,-118.2668,6,4,0,22,8,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,11/1/2000,LAL vs. UTA,UTA,30,15851,69,95.71,28,26,4,1,2,3,3,31,382,2498,3.525103853,2.0795665339,4.8828019226,2000,26,0.5027657176,0.4972342824,0
Jump Shot,Jump Shot,499,20000019,34.0103,127,34,-118.1428,0,4,0,30,13,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/1/2000,LAL vs. UTA,UTA,32,15851,69,95.71,30,26,4,1,6,5,3,31,30,2850,3.5266634199,2.5650262776,4.3694478525,2000,28,0.5356009372,0.4643990628,0
Jump Shot,Jump Shot,202,20000047,33.7723,-27,272,-118.2968,0,2,0,4,27,1,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,11/4/2000,LAL @ VAN,VAN,40,14081,72,95.09,34,26,4,2,2,1,2,32,4,1436,3.5196409399,3.2958739024,5.7589017739,2000,30,0.6432851187,0.3567148813,0
