"","GVIF","Df","GVIF^(1/(2*Df))"
"action_type",5.46299444960515,54,1.01584643910938
"lat",3.24679722464248,1,1.8018871287188
"lon",1.01522076650794,1,1.0075816426017
"playoffs",1.21231793705355,1,1.1010531036483
"season",2.46362792817208,19,1.02401096816678
"shot_distance",8.0911219912405,1,2.84448975938401
"shot_type",2.42966276141543,1,1.55873755373232
"opponent",2.29512178410789,32,1.01306564911757
"attendance",1.43585967554786,1,1.19827362298761
"arena_temp",1.04873626118069,1,1.02407824953989
"avgnoisedb",1.41084527553748,1,1.18779008058557
"time_remaining_period",1.11543961382914,1,1.05614374676421
"game_time",1.11265421418395,1,1.05482425748745
