"","GVIF","Df","GVIF^(1/(2*Df))"
"lat",3.13312887531065,1,1.77006465286177
"lon",1.01103728134728,1,1.00550349643712
"playoffs",1.20923251878223,1,1.09965108956534
"season",1.91311643213185,19,1.01721849390109
"shot_distance",3.60219761981761,1,1.89794563141772
"shot_type",1.92599841183801,1,1.38780344856108
"opponent",2.01743000341128,32,1.01102635369173
"attendance",1.43114999627381,1,1.19630681527516
"arena_temp",1.04563437314671,1,1.02256264998615
"avgnoisedb",1.40711781315889,1,1.18621996828535
"time_remaining_period",1.11053334313516,1,1.05381845833861
"game_time",1.1091102625831,1,1.05314303994429
