"action_type","combined_shot_type","game_event_id","game_id","lat","loc_x","loc_y","lon","minutes_remaining","period","playoffs","season","seconds_remaining","shot_distance","shot_made_flag","shot_type","shot_zone_area","shot_zone_basic","shot_zone_range","team_id","team_name","game_date","matchup","opponent","shot_id","attendance","arena_temp","avgnoisedb","rannum","action_type_int","combined_shot_type_int","shot_type_int","shot_zone_are_int","shot_zone_basic_int","shot_zone_range_int","opponent_int","time_remaining_period","game_time","log_lat","log_shot_distance","log_loc_y"
"Jump Shot","Jump Shot",10,20000012,33.9723,167,72,-118.1028,10,1,0,"2000",27,18,NA,"2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","10/31/2000","LAL @ POR","POR",1,14707,69,94.06,10,26,4,1,6,5,1,26,627,93,3.52554548668061,2.89042731190857,4.74493212836325
"Jump Shot","Jump Shot",254,20000012,34.0163,1,28,-118.2688,8,3,0,"2000",5,2,NA,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612747,"Los Angeles Lakers","10/31/2000","LAL @ POR","POR",8,14707,69,94.06,11,26,4,1,2,6,5,26,485,1675,3.52683982149976,0.693647055601596,4.26267987704132
"Driving Layup Shot","Layup",100,20000019,34.0443,0,0,-118.2698,0,1,0,"2000",1,0,NA,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612747,"Los Angeles Lakers","11/1/2000","LAL vs. UTA","UTA",17,15851,69,95.71,31,12,5,1,2,6,5,31,1,719,3.52766261770137,-6.90775527898214,3.76120011569356
"Driving Layup Shot","Layup",249,20000019,34.0443,0,0,-118.2698,10,3,0,"2000",46,0,NA,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612747,"Los Angeles Lakers","11/1/2000","LAL vs. UTA","UTA",20,15851,69,95.71,32,12,5,1,2,6,5,31,646,1514,3.52766261770137,-6.90775527898214,3.76120011569356
"Jump Shot","Jump Shot",4,20000047,33.9683,163,76,-118.1068,11,1,0,"2000",26,17,NA,"2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","11/4/2000","LAL @ VAN","VAN",33,14081,72,95.09,45,26,4,1,6,5,1,32,686,34,3.52542773676363,2.83327216585559,4.77912349311153
"Jump Shot","Jump Shot",8,20000047,33.8503,70,194,-118.1998,10,1,0,"2000",58,20,NA,"2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","11/4/2000","LAL @ VAN","VAN",34,14081,72,95.09,46,26,4,1,5,5,1,32,658,62,3.52194786194826,2.99578227230403,5.46806014113513
"Layup Shot","Layup",26,20000047,34.0253,1,19,-118.2688,7,1,0,"2000",33,1,NA,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612747,"Los Angeles Lakers","11/4/2000","LAL @ VAN","VAN",35,14081,72,95.09,47,27,5,1,2,6,5,32,453,267,3.52710436554495,0.000999500333083423,4.12713438504509
"Layup Shot","Layup",37,20000047,34.0293,-12,15,-118.2818,5,1,0,"2000",58,1,NA,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612747,"Los Angeles Lakers","11/4/2000","LAL @ VAN","VAN",36,14081,72,95.09,48,27,5,1,2,6,5,32,358,362,3.52722191821603,0.000999500333083423,4.06044301054642
"Reverse Layup Shot","Layup",53,20000047,34.0403,1,4,-118.2688,4,1,0,"2000",9,0,NA,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612747,"Los Angeles Lakers","11/4/2000","LAL @ VAN","VAN",37,14081,72,95.09,49,34,5,1,2,6,5,32,249,471,3.52754511682732,-6.90775527898214,3.85014760171006
"Jump Shot","Jump Shot",165,20000047,33.9283,-117,116,-118.3868,5,2,0,"2000",33,16,NA,"2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","11/4/2000","LAL @ VAN","VAN",38,14081,72,95.09,50,26,4,1,3,5,1,32,333,1107,3.52424947438738,2.77265122028674,5.06890420222023
