"action_type","lat","lon","playoffs","season","shot_distance","shot_made_flag","shot_type","opponent","attendance","arena_temp","avgnoisedb","time_remaining_period","game_time"
"Jump Shot",34.0443,-118.4268,0,"2000",15,0,"2PT Field Goal","POR",14707,69,94.06,622,98
"Jump Shot",33.9093,-118.3708,0,"2000",16,1,"2PT Field Goal","POR",14707,69,94.06,465,255
"Jump Shot",33.8693,-118.1318,0,"2000",22,0,"2PT Field Goal","POR",14707,69,94.06,412,308
"Driving Dunk Shot",34.0443,-118.2698,0,"2000",0,1,"2PT Field Goal","POR",14707,69,94.06,379,1061
"Jump Shot",34.0553,-118.4148,0,"2000",14,0,"2PT Field Goal","POR",14707,69,94.06,572,1588
"Layup Shot",34.0443,-118.2698,0,"2000",0,1,"2PT Field Goal","POR",14707,69,94.06,532,1628
"Jump Shot",33.9363,-118.3348,0,"2000",12,1,"2PT Field Goal","POR",14707,69,94.06,372,1788
"Running Jump Shot",33.9193,-118.3028,0,"2000",12,0,"2PT Field Goal","POR",14707,69,94.06,216,1944
"Jump Shot",33.8063,-118.3638,0,"2000",25,0,"3PT Field Goal","POR",14707,69,94.06,116,2044
"Jump Shot",33.9173,-118.1488,0,"2000",17,1,"2PT Field Goal","UTA",15851,69,95.71,660,60
"Running Jump Shot",33.9343,-118.3368,0,"2000",12,1,"2PT Field Goal","UTA",15851,69,95.71,429,291
"Jump Shot",34.0403,-118.3638,0,"2000",9,0,"2PT Field Goal","UTA",15851,69,95.71,164,556
"Jump Shot",33.9973,-118.2928,0,"2000",5,0,"2PT Field Goal","UTA",15851,69,95.71,76,644
"Jump Shot",33.8523,-118.2078,0,"2000",20,0,"2PT Field Goal","UTA",15851,69,95.71,48,672
"Jump Shot",33.8183,-118.3868,0,"2000",25,1,"3PT Field Goal","UTA",15851,69,95.71,530,910
"Jump Shot",33.9473,-118.4018,0,"2000",16,0,"2PT Field Goal","UTA",15851,69,95.71,689,1471
"Jump Shot",33.9003,-118.2668,0,"2000",14,0,"2PT Field Goal","UTA",15851,69,95.71,608,1552
"Jump Shot",33.9173,-118.1358,0,"2000",18,0,"2PT Field Goal","UTA",15851,69,95.71,544,1616
"Running Jump Shot",33.9343,-118.2858,0,"2000",11,1,"2PT Field Goal","UTA",15851,69,95.71,477,1683
"Running Jump Shot",33.8943,-118.3788,0,"2000",18,1,"2PT Field Goal","UTA",15851,69,95.71,347,1813
"Running Jump Shot",33.9813,-118.3158,0,"2000",7,1,"2PT Field Goal","UTA",15851,69,95.71,311,1849
"Layup Shot",34.0443,-118.2698,0,"2000",0,0,"2PT Field Goal","UTA",15851,69,95.71,156,2004
"Jump Shot",33.8483,-118.3278,0,"2000",20,0,"2PT Field Goal","UTA",15851,69,95.71,124,2036
"Jump Shot",33.8583,-118.4528,0,"2000",26,0,"3PT Field Goal","UTA",15851,69,95.71,30,2130
"Jump Shot",33.8713,-118.1848,0,"2000",19,0,"2PT Field Goal","UTA",15851,69,95.71,499,2381
"Jump Shot",33.9573,-118.2668,0,"2000",8,0,"2PT Field Goal","UTA",15851,69,95.71,382,2498
"Running Jump Shot",34.0403,-118.1488,0,"2000",12,1,"2PT Field Goal","UTA",15851,69,95.71,80,2800
"Jump Shot",34.0103,-118.1428,0,"2000",13,0,"2PT Field Goal","UTA",15851,69,95.71,30,2850
"Jump Shot",33.8603,-118.1788,0,"2000",20,1,"2PT Field Goal","VAN",14081,72,95.09,210,1230
"Jump Shot",33.7723,-118.2968,0,"2000",27,1,"3PT Field Goal","VAN",14081,72,95.09,4,1436
"Jump Shot",33.9783,-118.4458,0,"2000",18,0,"2PT Field Goal","VAN",14081,72,95.09,672,1488
"Layup Shot",34.0403,-118.2628,0,"2000",0,1,"2PT Field Goal","VAN",14081,72,95.09,613,1547
"Jump Shot",33.9113,-118.1198,0,"2000",20,1,"2PT Field Goal","VAN",14081,72,95.09,539,1621
"Jump Shot",34.0293,-118.2208,0,"2000",5,0,"2PT Field Goal","VAN",14081,72,95.09,509,1651
"Layup Shot",34.0403,-118.2738,0,"2000",0,1,"2PT Field Goal","VAN",14081,72,95.09,201,1959
"Reverse Dunk Shot",34.0403,-118.2738,0,"2000",0,0,"2PT Field Goal","VAN",14081,72,95.09,175,1985
"Slam Dunk Shot",34.0353,-118.2688,0,"2000",0,1,"2PT Field Goal","VAN",14081,72,95.09,158,2002
"Jump Shot",33.9243,-118.1488,0,"2000",17,1,"2PT Field Goal","VAN",14081,72,95.09,295,2585
"Layup Shot",34.0353,-118.2688,0,"2000",0,0,"2PT Field Goal","VAN",14081,72,95.09,68,2812
"Layup Shot",34.0353,-118.2818,0,"2000",1,0,"2PT Field Goal","VAN",14081,72,95.09,66,2814
"Jump Shot",33.9743,-118.2458,0,"2000",7,0,"2PT Field Goal","LAC",16092,70,95.2,633,87
